Tavg (°C),RH_avg (%),RR (mm)
22.8,73.0,0.0
23.2,68.0,1.0
23.3,66.0,0.0
23.6,74.0,0.0
23.8,81.0,0.0
23.0,85.0,2.0
23.2,88.0,22.0
22.7,88.0,14.0
23.2,84.0,35.0
23.5,81.0,0.0
23.3,85.0,0.0
24.7,79.0,14.0
24.0,84.0,0.0
24.0,78.0,0.0
23.8,77.0,0.0
24.6,76.0,0.0
23.9,80.0,0.0
23.3,84.0,0.0
23.7,84.0,21.0
23.2,75.0,1.0
23.0,78.0,0.0
22.8,75.0,0.0
22.6,80.0,0.0
23.2,76.0,0.0
21.7,78.0,0.0
22.6,74.0,0.0
22.3,68.0,0.0
22.6,70.0,0.0
22.5,72.0,0.0
22.2,74.0,0.0
22.2,80.0,0.0
22.6,67.0,0.0
21.2,78.0,0.0
22.2,68.0,0.0
21.3,76.0,0.0
21.7,78.0,0.0
22.5,82.0,0.0
22.4,85.0,0.0
22.4,82.0,0.0
21.1,76.0,0.0
20.8,72.0,0.0
21.6,73.0,0.0
21.0,72.0,0.0
21.4,72.0,0.0
21.0,70.0,0.0
21.7,74.0,0.0
21.2,74.0,0.0
22.3,83.0,0.0
21.6,76.0,0.0
21.5,77.0,0.0
22.6,81.0,0.0
22.1,80.0,0.0
21.4,79.0,0.0
22.7,70.0,0.0
22.1,72.0,0.0
21.6,69.0,0.0
21.6,70.0,0.0
22.0,61.0,0.0
22.3,62.0,0.0
23.8,88.0,0.0
20.3,76.0,1.0
23.8,75.0,0.0
20.4,74.0,0.0
21.2,76.0,0.0
22.3,78.0,0.0
22.8,74.0,0.0
22.6,82.0,0.0
21.9,74.0,0.0
22.0,70.0,0.0
21.9,74.0,0.0
21.6,71.0,0.0
21.6,67.0,0.0
21.3,72.0,0.0
23.3,80.0,0.0
23.0,74.0,0.0
22.8,72.0,0.0
20.5,76.0,0.0
20.2,74.0,0.0
21.6,76.0,0.0
21.0,68.0,0.0
20.8,68.0,0.0
21.9,66.0,0.0
21.2,61.0,0.0
23.8,65.0,0.0
20.7,70.0,0.0
20.7,66.0,0.0
23.8,71.0,0.0
20.6,75.0,0.0
20.4,70.0,0.0
21.2,72.0,0.0
21.1,78.0,0.0
22.6,74.0,0.0
21.2,71.0,0.0
21.7,70.0,0.0
22.5,69.0,0.0
22.6,70.0,0.0
23.8,74.0,8.0
22.7,76.0,0.0
22.5,71.0,0.0
20.9,78.0,0.0
21.8,80.0,0.0
22.8,78.0,0.0
21.5,71.0,0.0
20.6,75.0,0.0
20.4,66.0,0.0
21.0,68.0,0.0
21.6,76.0,0.0
22.8,66.0,0.0
22.0,80.0,0.0
21.2,60.0,0.0
20.6,78.0,0.0
20.2,56.0,0.0
20.8,57.0,0.0
21.1,58.0,0.0
21.9,67.0,0.0
22.2,68.0,0.0
23.3,64.0,0.0
23.5,74.0,0.0
24.2,72.0,0.0
22.2,71.0,0.0
22.7,72.0,0.0
22.8,74.0,0.0
23.1,78.0,0.0
22.7,72.0,1.0
22.4,70.0,0.0
22.6,70.0,0.0
22.1,69.0,0.0
22.5,76.0,0.0
22.5,76.0,0.0
22.3,76.0,0.0
21.6,70.0,0.0
21.0,61.0,0.0
22.3,69.0,0.0
22.8,72.0,0.0
22.7,72.0,0.0
22.8,75.0,0.0
22.8,70.0,0.0
23.8,70.0,0.0
22.4,72.0,0.0
22.2,70.0,0.0
23.8,74.0,0.0
23.8,77.0,4.0
23.5,74.0,0.0
23.6,72.0,0.0
24.5,66.0,0.0
23.9,60.0,0.0
25.0,64.0,0.0
24.2,64.0,0.0
24.3,78.0,0.0
22.7,62.0,0.0
24.1,68.0,0.0
23.5,61.0,0.0
23.0,70.0,0.0
24.2,74.0,0.0
24.4,72.0,11.0
25.0,73.0,0.0
24.1,70.0,0.0
24.9,69.0,0.0
25.1,62.0,0.0
24.3,67.0,0.0
24.7,64.0,0.0
25.2,59.0,0.0
24.6,66.0,0.0
24.6,63.0,0.0
24.2,66.0,0.0
24.2,61.0,0.0
25.3,61.0,0.0
23.7,62.0,0.0
25.0,58.0,0.0
24.3,62.0,0.0
25.1,61.0,0.0
24.4,66.0,0.0
24.5,71.0,0.0
25.7,67.0,0.0
25.5,71.0,0.0
25.2,69.0,0.0
24.5,76.0,2.0
24.6,74.0,11.0
25.9,66.0,0.0
25.8,68.0,0.0
25.4,71.0,0.0
25.1,68.0,0.0
25.1,68.0,0.0
25.2,74.0,0.0
25.3,63.0,1.0
24.9,73.0,0.0
27.2,61.0,0.0
25.6,68.0,0.0
26.3,72.0,0.0
26.7,68.0,1.0
26.1,67.0,0.0
25.6,67.0,0.0
24.9,74.0,0.0
25.2,70.0,8.0
25.0,68.0,0.0
25.8,66.0,0.0
25.0,70.0,0.0
25.4,71.0,3.0
25.6,63.0,0.0
25.5,70.0,0.0
25.7,76.0,0.0
25.8,72.0,10.0
25.3,75.0,0.0
24.7,78.0,31.0
24.9,74.0,2.0
25.3,70.0,0.0
25.4,66.0,0.0
23.9,80.0,0.0
25.1,80.0,0.0
25.3,76.0,8.0
24.9,76.0,0.0
24.4,74.0,0.0
25.7,66.0,0.0
24.4,79.0,2.0
25.3,76.0,41.0
25.5,76.0,0.0
25.5,76.0,1.0
24.5,84.0,0.0
25.5,82.0,1.0
24.8,80.0,10.0
23.5,87.0,3.0
24.2,81.0,1.0
24.1,83.0,14.0
24.9,82.0,10.0
23.9,86.0,7.0
23.8,89.0,3.0
24.8,84.0,9.0
24.6,82.0,0.0
24.0,90.0,13.0
25.1,70.0,25.0
23.9,81.0,19.0
24.1,81.0,0.0
24.0,83.0,6.0
24.5,73.0,8.0
25.5,74.0,0.0
24.4,72.0,0.0
24.2,76.0,0.0
24.2,79.0,0.0
23.9,77.0,0.0
23.0,62.0,0.0
21.6,68.0,0.0
21.5,74.0,0.0
22.1,75.0,0.0
22.6,77.0,0.0
23.8,80.0,0.0
21.7,84.0,0.0
23.2,75.0,0.0
22.0,80.0,1.0
22.4,79.0,0.0
22.1,87.0,8.0
22.3,88.0,1.0
23.0,82.0,46.0
23.0,84.0,0.0
23.1,89.0,46.0
22.6,79.0,1.0
22.5,78.0,0.0
23.0,77.0,0.0
24.0,76.0,0.0
22.8,74.0,0.0
23.2,75.0,0.0
22.8,78.0,0.0
24.3,79.0,0.0
24.6,80.0,8.0
23.2,82.0,0.0
23.6,86.0,10.0
22.9,90.0,10.0
23.4,84.0,62.0
23.6,85.0,14.0
24.4,84.0,7.0
23.8,78.0,0.0
23.7,80.0,2.0
23.7,87.0,2.0
24.7,72.0,0.0
23.9,75.0,0.0
24.2,68.0,0.0
24.1,70.0,0.0
23.0,85.0,0.0
23.5,81.0,0.0
23.4,83.0,13.0
24.1,80.0,37.0
23.8,82.0,0.0
23.5,84.0,2.0
23.6,86.0,28.0
23.3,86.0,6.0
24.1,80.0,0.0
24.3,86.0,0.0
23.3,83.0,7.0
23.6,84.0,0.0
22.9,84.0,20.0
23.7,84.0,7.0
24.2,80.0,0.0
24.2,87.0,1.0
25.0,72.0,1.0
24.1,86.0,0.0
24.9,81.0,0.0
24.1,83.0,3.0
24.4,74.0,14.0
23.7,89.0,2.0
23.5,85.0,1.0
25.1,72.0,1.0
25.4,57.0,0.0
23.6,75.0,0.0
23.2,83.0,2.0
22.5,93.0,0.0
23.1,89.0,24.0
23.5,91.0,3.0
22.9,74.0,2.0
21.5,84.0,0.0
23.0,85.0,17.0
23.2,84.0,30.0
22.8,92.0,1.0
22.5,94.0,9.0
22.6,92.0,16.0
22.4,91.0,6.0
23.6,88.0,1.0
24.3,84.0,2.0
23.7,86.0,11.0
23.8,92.0,0.0
22.4,93.0,0.0
23.5,85.0,28.0
23.3,86.0,0.0
22.7,90.0,19.0
23.1,76.0,63.0
23.5,84.0,10.0
24.3,84.0,1.0
24.2,85.0,0.0
24.1,74.0,0.0
24.2,74.0,0.0
24.3,79.0,0.0
23.4,86.0,2.0
24.0,88.0,43.0
23.6,84.0,0.0
23.3,86.0,30.0
24.5,82.0,0.0
24.1,85.0,6.0
23.9,88.0,19.0
23.7,82.0,5.0
24.2,86.0,0.0
23.8,80.0,5.0
23.9,84.0,7.0
23.8,84.0,1.0
23.3,87.0,1.0
24.0,84.0,2.0
23.5,89.0,2.0
23.4,78.0,0.0
23.8,82.0,0.0
24.3,81.0,0.0
24.2,84.0,14.0
24.1,78.0,6.0
23.6,78.0,0.0
24.1,76.0,0.0
21.7,76.0,0.0
23.6,76.0,0.0
24.2,70.0,0.0
24.1,74.0,0.0
24.2,80.0,0.0
23.8,80.0,0.0
23.8,78.0,3.0
23.6,77.0,0.0
23.2,79.0,0.0
24.1,76.0,0.0
24.0,73.0,0.0
22.9,68.0,0.0
23.3,72.0,0.0
23.5,67.0,1.0
23.9,82.0,0.0
22.3,88.0,1.0
23.4,83.0,0.0
24.4,77.0,0.0
24.8,75.0,0.0
24.6,77.0,0.0
24.5,83.0,0.0
25.1,78.0,0.0
24.4,67.0,0.0
24.7,71.0,0.0
23.5,67.0,0.0
23.5,70.0,0.0
23.4,71.0,0.0
24.6,71.0,0.0
24.5,75.0,0.0
24.3,72.0,0.0
23.7,82.0,0.0
24.1,70.0,0.0
24.0,69.0,0.0
24.5,76.0,0.0
25.5,66.0,5.0
24.4,79.0,0.0
24.2,78.0,2.0
24.2,80.0,0.0
23.9,84.0,0.0
23.0,78.0,0.0
21.6,64.0,0.0
21.5,60.0,0.0
22.1,63.0,0.0
22.6,74.0,0.0
23.8,75.0,0.0
21.7,75.0,0.0
23.2,67.0,0.0
22.0,69.0,0.0
22.4,77.0,0.0
22.1,90.0,0.0
22.3,91.0,1.0
23.0,88.0,0.0
23.0,80.0,0.0
23.1,68.0,0.0
22.6,69.0,0.0
22.5,64.0,0.0
23.0,76.0,0.0
24.0,77.0,0.0
22.8,79.0,0.0
23.2,84.0,1.0
22.8,79.0,6.0
23.1,82.0,0.0
22.0,66.0,0.0
21.2,67.0,0.0
21.9,72.0,0.0
21.8,76.0,0.0
22.5,80.0,0.0
22.0,77.0,2.0
21.2,70.0,0.0
20.7,69.0,0.0
20.8,65.0,0.0
20.9,64.0,0.0
21.5,63.0,0.0
22.5,69.0,0.0
23.4,77.0,4.0
22.9,76.0,0.0
23.5,77.0,0.0
24.2,77.0,0.0
23.5,80.0,1.0
22.8,74.0,0.0
23.5,79.0,0.0
23.6,80.0,0.0
23.1,78.0,0.0
21.0,74.0,0.0
21.4,73.0,0.0
21.3,72.0,0.0
22.3,67.0,0.0
22.1,72.0,0.0
22.9,76.0,0.0
22.9,71.0,0.0
21.9,70.0,0.0
21.0,67.0,0.0
21.0,73.0,0.0
21.3,69.0,0.0
21.2,73.0,0.0
21.4,82.0,1.0
21.6,71.0,0.0
22.4,72.0,0.0
21.5,72.0,0.0
21.5,68.0,0.0
21.1,73.0,0.0
22.2,74.0,0.0
22.0,78.0,0.0
22.0,84.0,0.0
22.4,81.0,0.0
23.3,74.0,0.0
22.1,75.0,0.0
21.4,69.0,0.0
21.8,76.0,0.0
22.3,74.0,0.0
22.8,66.0,0.0
22.9,81.0,0.0
22.1,84.0,0.0
22.6,78.0,0.0
21.9,86.0,0.0
21.1,78.0,0.0
20.9,71.0,0.0
20.7,62.0,0.0
20.3,62.0,0.0
23.8,64.0,0.0
22.7,71.0,0.0
21.9,67.0,0.0
21.7,70.0,0.0
21.9,74.0,0.0
22.6,79.0,0.0
22.8,76.0,0.0
23.1,73.0,0.0
23.1,82.0,0.0
23.5,74.0,10.0
22.8,78.0,0.0
21.2,67.0,0.0
21.7,66.0,0.0
21.6,57.0,0.0
21.7,67.0,0.0
21.7,64.0,0.0
21.4,65.0,0.0
23.1,65.0,0.0
22.6,74.0,0.0
23.1,74.0,0.0
22.9,76.0,0.0
22.3,78.0,0.0
22.2,65.0,0.0
23.2,66.0,0.0
23.0,62.0,0.0
23.6,72.0,0.0
23.7,77.0,0.0
23.2,77.0,0.0
24.1,71.0,0.0
23.4,73.0,0.0
22.9,67.0,0.0
23.4,71.0,0.0
22.9,70.0,0.0
21.7,67.0,0.0
24.3,61.0,0.0
24.0,62.0,0.0
24.3,60.0,0.0
23.4,67.0,0.0
25.2,60.0,0.0
24.7,67.0,0.0
24.6,72.0,0.0
24.7,71.0,0.0
24.1,77.0,33.0
23.9,78.0,0.0
24.0,67.0,0.0
23.8,74.0,0.0
24.0,74.0,0.0
24.5,78.0,0.0
24.3,74.0,0.0
24.2,67.0,0.0
23.9,64.0,0.0
24.9,68.0,0.0
24.5,72.0,0.0
24.8,75.0,0.0
24.9,80.0,0.0
25.1,68.0,13.0
25.1,73.0,0.0
24.9,76.0,2.0
24.8,72.0,3.0
24.1,76.0,0.0
24.6,74.0,0.0
25.1,75.0,0.0
24.1,76.0,0.0
24.6,73.0,0.0
23.9,76.0,0.0
23.8,76.0,1.0
23.4,89.0,3.0
23.6,86.0,56.0
23.5,88.0,18.0
23.4,91.0,8.0
24.2,84.0,26.0
24.2,84.0,0.0
23.6,81.0,2.0
23.9,83.0,39.0
24.8,81.0,15.0
23.8,81.0,0.0
23.9,81.0,6.0
24.1,78.0,49.0
24.3,82.0,0.0
23.9,83.0,2.0
24.3,79.0,30.0
24.5,76.0,4.0
24.1,76.0,0.0
24.0,71.0,0.0
23.9,74.0,0.0
23.8,72.0,0.0
22.6,75.0,0.0
22.5,76.0,0.0
23.5,80.0,0.0
24.2,74.0,0.0
24.2,74.0,0.0
24.4,73.0,0.0
23.5,72.0,0.0
24.1,77.0,13.0
25.4,67.0,0.0
24.6,73.0,0.0
24.1,86.0,6.0
23.3,89.0,19.0
23.0,85.0,35.0
22.5,93.0,0.0
24.0,84.0,15.0
24.6,73.0,0.0
24.6,77.0,1.0
24.5,81.0,0.0
25.1,76.0,4.0
24.9,82.0,1.0
24.2,82.0,12.0
24.8,78.0,3.0
24.5,78.0,1.0
24.8,75.0,0.0
24.6,78.0,0.0
23.6,88.0,6.0
23.7,86.0,2.0
22.1,93.0,0.0
23.0,82.0,81.0
22.8,86.0,69.0
23.2,86.0,20.0
24.1,80.0,0.0
22.8,86.0,0.0
22.6,94.0,25.0
20.3,98.0,62.0
22.9,87.0,47.0
23.8,80.0,2.0
23.4,83.0,5.0
23.6,84.0,3.0
24.9,77.0,5.0
25.3,69.0,23.0
24.5,73.0,1.0
23.2,88.0,1.0
21.9,94.0,2.0
23.4,82.0,32.0
23.8,79.0,0.0
23.3,81.0,1.0
23.2,81.0,5.0
22.7,84.0,0.0
23.4,80.0,0.0
23.2,76.0,0.0
23.8,78.0,0.0
23.9,80.0,0.0
23.7,86.0,0.0
23.7,84.0,7.0
22.7,90.0,0.0
23.5,83.0,1.0
23.7,82.0,0.0
23.1,85.0,14.0
23.6,81.0,0.0
24.0,80.0,4.0
23.5,80.0,0.0
23.5,76.0,0.0
23.2,73.0,10.0
24.0,74.0,0.0
24.5,79.0,0.0
24.1,74.0,1.0
24.3,77.0,17.0
24.1,88.0,8.0
23.3,90.0,38.0
23.8,86.0,42.0
23.8,82.0,1.0
23.6,88.0,3.0
23.6,81.0,30.0
24.5,76.0,29.0
24.0,84.0,48.0
25.2,70.0,0.0
24.4,86.0,6.0
24.9,75.0,1.0
24.1,78.0,5.0
23.9,72.0,0.0
24.4,67.0,19.0
23.5,78.0,0.0
23.5,76.0,0.0
23.6,78.0,11.0
22.8,79.0,2.0
22.9,80.0,2.0
23.6,78.0,0.0
24.1,75.0,8.0
23.9,76.0,1.0
24.1,67.0,3.0
22.8,81.0,1.0
24.1,75.0,1.0
23.1,84.0,18.0
23.5,82.0,0.0
23.0,88.0,1.0
23.1,87.0,18.0
22.9,91.0,18.0
22.9,90.0,1.0
22.0,94.0,89.0
23.3,85.0,4.0
22.8,92.0,1.0
22.5,92.0,39.0
22.9,86.0,0.0
22.0,92.0,8.0
22.4,92.0,7.0
22.6,86.0,32.0
23.2,84.0,21.0
23.4,89.0,0.0
23.4,83.0,30.0
23.6,84.0,4.0
23.4,84.0,0.0
22.7,90.0,0.0
23.8,78.0,8.0
23.1,87.0,0.0
23.2,80.0,12.0
23.1,83.0,12.0
23.3,85.0,58.0
23.1,86.0,3.0
22.6,90.0,2.0
22.3,89.0,44.0
23.2,82.0,18.0
22.0,90.0,0.0
22.8,86.0,30.0
23.7,81.0,0.0
23.4,85.0,0.0
22.9,84.0,6.0
24.2,80.0,1.0
24.1,83.0,0.0
23.0,79.0,120.0
21.4,90.0,0.0
21.9,87.0,7.0
22.2,71.0,0.0
23.0,83.0,0.0
23.2,80.0,0.0
24.2,84.0,7.0
23.5,80.0,0.0
23.3,86.0,12.0
23.7,80.0,6.0
24.3,80.0,0.0
24.8,75.0,0.0
23.9,74.0,0.0
23.7,79.0,0.0
23.5,78.0,0.0
23.1,76.0,15.0
24.3,72.0,0.0
23.6,70.0,0.0
23.3,76.0,0.0
24.0,78.0,0.0
23.6,76.0,15.0
23.5,78.0,0.0
23.1,85.0,0.0
23.7,82.0,4.0
25.0,75.0,0.0
24.1,77.0,0.0
24.3,76.0,0.0
23.7,72.0,0.0
23.9,70.0,0.0
23.0,75.0,0.0
23.8,80.0,0.0
24.0,77.0,0.0
23.7,83.0,3.0
23.9,82.0,6.0
23.6,85.0,2.0
23.4,82.0,5.0
23.3,82.0,7.0
23.0,88.0,0.0
23.7,80.0,20.0
23.9,74.0,0.0
23.5,66.0,0.0
22.4,65.0,0.0
22.0,78.0,0.0
21.0,59.0,0.0
23.1,64.0,0.0
23.6,68.0,0.0
22.9,68.0,0.0
23.1,70.0,0.0
23.3,73.0,0.0
23.5,68.0,0.0
24.2,84.0,0.0
24.0,83.0,20.0
23.9,80.0,0.0
24.0,78.0,0.0
22.5,76.0,0.0
22.1,76.0,0.0
22.3,76.0,0.0
22.2,79.0,0.0
22.6,78.0,0.0
23.1,79.0,0.0
22.3,80.0,0.0
22.1,76.0,0.0
22.7,75.0,0.0
22.6,73.0,0.0
22.6,72.0,0.0
22.5,80.0,0.0
22.2,72.0,0.0
22.1,68.0,0.0
21.7,75.0,0.0
22.5,70.0,0.0
22.9,70.0,0.0
23.8,70.0,0.0
21.9,79.0,0.0
22.7,80.0,0.0
22.9,85.0,1.0
23.1,74.0,0.0
23.0,65.0,0.0
22.8,85.0,0.0
22.7,76.0,1.0
22.1,68.0,0.0
22.1,76.0,0.0
21.3,72.0,0.0
21.8,70.0,0.0
21.2,66.0,0.0
21.2,72.0,0.0
22.0,70.0,0.0
22.9,64.0,0.0
23.2,70.0,0.0
22.8,73.0,0.0
22.5,73.0,0.0
22.7,74.0,0.0
21.8,77.0,0.0
22.8,70.0,0.0
22.8,72.0,0.0
22.7,66.0,0.0
22.5,79.0,0.0
21.9,71.0,0.0
21.1,74.0,0.0
20.8,78.0,0.0
21.0,78.0,0.0
23.0,63.0,0.0
21.6,78.0,0.0
20.6,76.0,0.0
21.0,72.0,0.0
22.2,74.0,0.0
22.3,72.0,0.0
21.8,78.0,0.0
21.0,73.0,0.0
23.8,62.0,0.0
21.3,64.0,0.0
22.2,68.0,0.0
21.3,74.0,0.0
21.3,66.0,0.0
21.9,72.0,0.0
21.1,76.0,0.0
21.4,72.0,0.0
21.4,68.0,0.0
21.4,73.0,0.0
21.0,73.0,0.0
20.3,73.0,0.0
23.8,68.0,0.0
22.8,67.0,0.0
21.7,72.0,0.0
21.9,72.0,0.0
22.1,76.0,0.0
21.0,72.0,0.0
21.0,66.0,0.0
20.9,67.0,0.0
21.1,80.0,0.0
21.7,78.0,0.0
21.8,74.0,0.0
21.5,69.0,0.0
22.3,71.0,0.0
21.4,80.0,0.0
22.1,82.0,0.0
23.1,77.0,5.0
22.6,79.0,0.0
22.2,81.0,22.0
23.0,82.0,0.0
22.2,81.0,0.0
21.2,81.0,0.0
21.3,84.0,0.0
21.4,84.0,0.0
20.9,80.0,0.0
21.8,79.0,0.0
21.9,80.0,0.0
22.7,82.0,0.0
22.6,77.0,0.0
22.4,78.0,0.0
23.3,78.0,0.0
24.4,67.0,0.0
23.6,80.0,0.0
23.0,76.0,12.0
23.1,76.0,0.0
23.2,79.0,9.0
22.9,82.0,6.0
23.1,77.0,0.0
22.6,76.0,0.0
22.6,78.0,0.0
22.9,73.0,1.0
22.3,76.0,0.0
22.4,85.0,1.0
22.5,83.0,0.0
22.9,74.0,1.0
23.2,83.0,0.0
24.9,73.0,0.0
24.5,74.0,0.0
24.1,74.0,0.0
24.4,60.0,0.0
22.9,74.0,0.0
22.5,76.0,0.0
23.6,77.0,0.0
24.7,71.0,0.0
22.6,81.0,0.0
23.3,72.0,0.0
23.4,73.0,0.0
22.8,72.0,0.0
23.6,70.0,0.0
23.5,58.0,0.0
23.5,72.0,0.0
24.4,71.0,0.0
24.1,76.0,0.0
23.8,60.0,0.0
22.4,74.0,0.0
23.1,66.0,0.0
23.8,68.0,0.0
24.2,72.0,0.0
23.9,74.0,0.0
24.3,80.0,0.0
24.3,80.0,20.0
24.5,74.0,0.0
23.8,79.0,9.0
23.5,82.0,0.0
23.8,79.0,7.0
24.7,76.0,0.0
24.3,80.0,0.0
25.0,74.0,0.0
25.3,73.0,0.0
25.5,68.0,0.0
25.6,66.0,0.0
26.1,68.0,0.0
25.0,76.0,0.0
25.3,71.0,4.0
25.9,74.0,0.0
25.9,72.0,0.0
25.2,69.0,0.0
25.2,74.0,0.0
26.1,68.0,1.0
24.9,76.0,0.0
24.7,66.0,4.0
24.1,79.0,1.0
22.1,92.0,30.0
24.5,74.0,16.0
24.7,60.0,0.0
24.8,66.0,0.0
25.2,74.0,0.0
25.2,78.0,7.0
23.8,80.0,0.0
23.2,86.0,1.0
24.4,85.0,15.0
24.7,79.0,4.0
24.3,84.0,4.0
25.1,76.0,0.0
25.2,76.0,0.0
24.9,82.0,4.0
24.9,80.0,0.0
26.4,74.0,1.0
23.9,84.0,0.0
24.7,81.0,13.0
24.7,83.0,0.0
24.5,81.0,12.0
24.8,80.0,0.0
24.8,82.0,14.0
24.8,81.0,0.0
23.2,88.0,1.0
23.6,84.0,4.0
24.4,83.0,21.0
23.7,87.0,31.0
22.7,91.0,4.0
23.5,92.0,16.0
23.8,90.0,17.0
23.9,87.0,6.0
22.8,90.0,0.0
23.2,82.0,1.0
23.6,81.0,0.0
23.2,78.0,0.0
24.1,75.0,0.0
24.4,77.0,0.0
24.0,72.0,0.0
25.7,72.0,0.0
24.1,76.0,0.0
24.4,80.0,0.0
23.1,90.0,14.0
23.6,89.0,17.0
22.5,93.0,33.0
22.1,94.0,7.0
22.5,91.0,25.0
22.5,90.0,27.0
22.3,92.0,19.0
23.3,90.0,21.0
23.9,83.0,46.0
23.7,80.0,0.0
22.8,80.0,0.0
22.9,82.0,3.0
22.4,90.0,3.0
23.0,85.0,3.0
23.8,86.0,0.0
23.0,91.0,0.0
23.2,84.0,0.0
23.3,86.0,1.0
23.2,79.0,1.0
23.6,80.0,0.0
24.3,82.0,0.0
24.1,85.0,4.0
23.8,85.0,8.0
22.3,94.0,0.0
23.6,87.0,9.0
23.5,86.0,0.0
24.0,82.0,9.0
23.9,79.0,1.0
23.5,85.0,0.0
23.7,87.0,2.0
23.0,82.0,24.0
22.9,85.0,30.0
22.0,94.0,2.0
22.8,90.0,20.0
23.3,84.0,0.0
23.8,81.0,1.0
22.0,94.0,4.0
23.5,92.0,13.0
23.4,78.0,16.0
24.0,77.0,3.0
23.4,82.0,1.0
23.0,88.0,3.0
23.9,83.0,3.0
22.5,88.0,2.0
24.0,80.0,11.0
24.0,84.0,2.0
23.8,82.0,1.0
24.0,80.0,0.0
24.0,87.0,2.0
23.4,88.0,24.0
24.3,85.0,21.0
24.5,77.0,3.0
24.2,83.0,0.0
23.7,90.0,21.0
23.4,88.0,14.0
23.3,87.0,25.0
22.8,75.0,20.0
22.8,77.0,46.0
22.0,72.0,24.0
22.1,72.0,10.0
23.4,76.0,3.0
24.1,80.0,13.0
24.2,90.0,3.0
24.7,89.0,0.0
24.9,93.0,2.0
23.4,94.0,0.0
23.9,91.0,3.0
23.4,90.0,13.0
23.7,92.0,0.0
24.8,90.0,0.0
23.4,83.0,0.0
23.8,80.0,7.0
24.2,80.0,8.0
24.3,82.0,2.0
24.2,90.0,1.0
22.1,85.0,3.0
23.5,86.0,49.0
23.1,91.0,79.0
23.1,84.0,23.0
23.3,86.0,73.0
23.0,79.0,5.0
22.9,80.0,21.0
23.6,82.0,19.0
23.9,85.0,9.0
25.0,74.0,2.0
23.5,84.0,0.0
24.4,79.0,1.0
23.8,79.0,2.0
23.5,87.0,22.0
23.2,90.0,14.0
23.7,85.0,7.0
24.8,83.0,5.0
23.5,78.0,0.0
23.3,75.0,0.0
23.8,72.0,0.0
23.3,68.0,0.0
22.6,82.0,0.0
22.8,76.0,8.0
23.5,75.0,2.0
23.8,72.0,0.0
24.2,79.0,0.0
24.5,79.0,0.0
23.7,77.0,0.0
23.6,77.0,0.0
24.2,79.0,0.0
24.3,78.0,0.0
22.9,79.0,7.0
23.1,70.0,7.0
24.0,81.0,0.0
24.4,77.0,4.0
23.5,77.0,0.0
23.5,79.0,1.0
23.6,78.0,0.0
24.0,75.0,0.0
24.0,80.0,0.0
23.2,82.0,17.0
23.8,80.0,18.0
23.6,83.0,2.0
23.9,82.0,8.0
25.0,76.0,0.0
24.7,72.0,0.0
24.1,68.0,0.0
23.7,70.0,0.0
25.1,69.0,0.0
24.5,76.0,0.0
24.5,71.0,0.0
24.7,82.0,0.0
24.3,83.0,0.0
24.8,77.0,4.0
25.1,75.0,0.0
23.6,80.0,0.0
24.6,73.0,4.0
24.5,77.0,0.0
23.9,86.0,2.0
23.9,80.0,6.0
23.9,78.0,7.0
23.5,83.0,0.0
25.0,70.0,0.0
24.3,77.0,0.0
24.4,74.0,0.0
24.2,73.0,0.0
24.4,70.0,0.0
24.9,76.0,0.0
24.5,72.0,0.0
24.3,65.0,0.0
23.5,69.0,0.0
23.1,58.0,0.0
23.7,65.0,0.0
23.3,72.0,0.0
23.7,82.0,1.0
24.2,76.0,3.0
24.5,74.0,0.0
24.4,72.0,20.0
24.4,77.0,1.0
23.3,81.0,1.0
23.4,79.0,13.0
22.5,82.0,0.0
23.8,75.0,0.0
23.9,74.0,0.0
23.7,80.0,2.0
23.8,81.0,0.0
23.7,80.0,2.0
23.4,86.0,16.0
23.7,88.0,9.0
23.6,80.0,1.0
23.9,83.0,0.0
23.6,80.0,0.0
23.1,82.0,0.0
23.3,84.0,0.0
23.8,83.0,4.0
23.4,87.0,8.0
24.5,78.0,11.0
24.1,75.0,9.0
23.2,73.0,0.0
24.2,80.0,0.0
24.1,78.0,0.0
23.8,80.0,0.0
24.3,70.0,0.0
24.0,78.0,0.0
23.9,76.0,0.0
23.7,73.0,0.0
23.6,74.0,0.0
23.9,73.0,0.0
23.8,75.0,0.0
22.5,86.0,0.0
23.3,76.0,3.0
23.2,82.0,0.0
22.8,80.0,64.0
23.0,75.0,3.0
22.4,76.0,0.0
22.4,68.0,0.0
22.2,72.0,0.0
23.4,70.0,0.0
23.2,72.0,0.0
22.7,72.0,0.0
22.3,69.0,0.0
23.0,64.0,0.0
24.1,69.0,0.0
22.3,69.0,0.0
22.3,71.0,0.0
21.8,66.0,0.0
21.5,73.0,0.0
23.0,62.0,0.0
23.1,74.0,0.0
21.9,67.0,0.0
22.0,61.0,0.0
21.7,73.0,0.0
22.8,70.0,0.0
22.8,81.0,0.0
22.6,78.0,39.0
22.4,71.0,0.0
21.7,70.0,0.0
22.1,68.0,0.0
21.2,67.0,0.0
21.4,63.0,0.0
22.0,68.0,0.0
21.5,78.0,0.0
22.2,65.0,0.0
20.7,64.0,0.0
21.9,69.0,0.0
22.2,74.0,0.0
22.4,68.0,0.0
22.6,65.0,0.0
21.1,69.0,0.0
21.9,66.0,0.0
22.4,75.0,0.0
23.0,72.0,0.0
